value_en	description_en	codesystem	code	description_code
454 Genome Sequence 20	454 Genome Sequence 20	OBI	OBI_0000689	454 Genome Sequence 20
AB SOLiD System	AB SOLiD System	OBI	OBI_0000696	AB SOLiD System
454 Genome Sequencer FLX	454 Genome Sequencer FLX	OBI	OBI_0000702	454 Genome Sequencer FLX
Illumina Genome Analyzer II	Illumina Genome Analyzer II	OBI	OBI_0000703	Illumina Genome Analyzer II
HeliScope Single Molecule Sequencer	HeliScope Single Molecule Sequencer	OBI	OBI_0000717	HeliScope Single Molecule Sequencer
Genome Analyzer IIx	Genome Analyzer IIx	OBI	OBI_0002000	Genome Analyzer IIx
Illumina HiSeq 2000	Illumina HiSeq 2000	OBI	OBI_0002001	Illumina HiSeq 2000
Illumina HiSeq 2500	Illumina HiSeq 2500	OBI	OBI_0002002	Illumina HiSeq 2500
MiSeq	MiSeq	OBI	OBI_0002003	MiSeq
SOLiD 3 Plus System	SOLiD 3 Plus System	OBI	OBI_0002007	SOLiD 3 Plus System
PacBio RS II	PacBio RS II	OBI	OBI_0002012	PacBio RS II
3-severe autolysis	3-severe autolysis	OBI	OBI_0002012	3-severe autolysis
NextSeq 500	NextSeq 500	OBI	OBI_0002021	NextSeq 500
Illumina HiSeq 1000	Illumina HiSeq 1000	OBI	OBI_0002022	Illumina HiSeq 1000
SOLiD 4 System	SOLiD 4 System	OBI	OBI_0002024	SOLiD 4 System
Genome Analyzer IIe	Genome Analyzer IIe	OBI	OBI_0002027	Genome Analyzer IIe
Illumina HiSeq 3000	Illumina HiSeq 3000	OBI	OBI_0002048	Illumina HiSeq 3000
Illumina HiSeq 4000	Illumina HiSeq 4000	OBI	OBI_0002049	Illumina HiSeq 4000
sequencing instrument model	sequencing instrument model	Genepio	GENEPIO_0001921	sequencing instrument model
SOLiD 4hq System	SOLiD 4hq System	Genepio	GENEPIO_0001928	SOLiD 4hq System
SOLiD 5500	SOLiD 5500	Genepio	GENEPIO_0001929	SOLiD 5500
SOLiD 5500xl	SOLiD 5500xl	Genepio	GENEPIO_0001930	SOLiD 5500xl
SOLiD PI System	SOLiD PI System	Genepio	GENEPIO_0001931	SOLiD PI System
SOLiD System 2.0	SOLiD System 2.0	Genepio	GENEPIO_0001932	SOLiD System 2.0
SOLiD System 3.0	SOLiD System 3.0	Genepio	GENEPIO_0001933	SOLiD System 3.0
Ion Torrent PGM	Ion Torrent PGM	Genepio	GENEPIO_0001935	Ion Torrent PGM
454 Genome Sequencer FLX Titanium	454 Genome Sequencer FLX Titanium	Genepio	GENEPIO_0001936	454 Genome Sequencer FLX Titanium
454 Genome Sequencer	454 Genome Sequencer	Genepio	GENEPIO_0001937	454 Genome Sequencer
454 Genome Sequencer Junior	454 Genome Sequencer Junior	Genepio	GENEPIO_0001938	454 Genome Sequencer Junior
Illumina HiSeq Sequencer	Illumina HiSeq Sequencer	Genepio	GENEPIO_0001939	Illumina HiSeq Sequencer
Illumina HiSeq X Five	Illumina HiSeq X Five	na	na	na
Illumina HiSeq X Ten	Illumina HiSeq X Ten	na	na	na
Illumina MiniSeq	Illumina MiniSeq	na	na	na
Illumina iSeq 100	Illumina iSeq 100	na	na	na
Illumina NextSeq 550	Illumina NextSeq 550	na	na	na
Illumina NextSeq 2000	Illumina NextSeq 2000	na	na	na
Illumina NovaSeq 6000	Illumina NovaSeq 6000	na	na	na
Illumina NextSeq 1000	Illumina NextSeq 1000	na	na	na
Illumina NextSeq 550Dx	Illumina NextSeq 550Dx	na	na	na
Illumina MiSeqDx	Illumina MiSeqDx	na	na	na
Illumina MiSeq FGx	Illumina MiSeq FGx	na	na	na
